,agent,time,assesment
0,0,0,0.21016207006519494
1,1,0,0.2535379767877468
2,2,0,0.2500600317150746
3,3,0,0.11263002362968977
4,4,0,0.6555172655660587
5,5,0,0.5173586817187446
6,6,0,0.8045489548911134
7,7,0,0.27267376959454814
8,8,0,0.05939472026132819
9,9,0,0.5963864686573602
10,10,0,0.660815103488842
11,11,0,0.25620815834195165
12,12,0,0.09781276894002866
13,13,0,0.7902319753164829
14,14,0,0.8282687292333217
15,15,0,0.43813410146350784
16,16,0,0.8544912770319276
17,17,0,0.7107369333914945
18,18,0,0.8908767342730638
19,19,0,0.7109692425787619
20,20,0,0.9702276716119316
21,21,0,0.14982120269310129
22,22,0,0.916508969615379
23,23,0,0.6007462186702235
24,24,0,0.3611984917393255
25,25,0,0.5256867272096925
26,26,0,0.0185826343217117
27,27,0,0.6795387193129021
28,28,0,0.604610625517378
29,29,0,0.755690348884315
30,30,0,0.9196719376447072
31,31,0,0.09852025808562725
32,32,0,0.3385792983393434
33,33,0,0.1557261146613893
34,34,0,0.30284910295743017
35,35,0,0.23418108564282958
36,36,0,0.6832666517300914
37,37,0,0.37427077566511213
38,38,0,0.6212061524687932
39,39,0,0.6722157336029161
40,0,1,0.22760877057753096
41,1,1,0.2562127824346222
42,2,1,0.25750173245514807
43,3,1,0.1279048152706731
44,4,1,0.6467890167753096
45,5,1,0.5437939324656975
46,6,1,0.7928997619540509
47,7,1,0.2774455008335495
48,8,1,0.10741995739104988
49,9,1,0.6218336972268119
50,10,1,0.6510233526317865
51,11,1,0.26344909963244134
52,12,1,0.10622465101618919
53,13,1,0.7708563045580459
54,14,1,0.8341468958830357
55,15,1,0.42790880214632415
56,16,1,0.8393511073391524
57,17,1,0.6929829598706411
58,18,1,0.8741619678873677
59,19,1,0.6985576343914329
60,20,1,0.9080619286115658
61,21,1,0.1381038609991587
62,22,1,0.8880774580920949
63,23,1,0.6133033697948689
64,24,1,0.34971674186263624
65,25,1,0.5544867512471708
66,26,1,0.08325416464514437
67,27,1,0.6519554161490726
68,28,1,0.613519734396627
69,29,1,0.7283925865954031
70,30,1,0.8843386888240883
71,31,1,0.10602441027162177
72,32,1,0.3242674536997659
73,33,1,0.16061031285174138
74,34,1,0.2873746988557702
75,35,1,0.23184967863809158
76,36,1,0.6569957695887935
77,37,1,0.36958259021281575
